md5,origen,estado,archivo_maestro
5133336b6004ffd4f8b24aba646327ac,carcasas-silicona-iphone/SIL-AZL-17PRO.jpg,unica,images/carcasas-silicona-iphone/SIL-AZL-17PRO.jpg
16026d177a586598d1ab3ce5d5e6c4bd,carcasas-silicona-iphone/SIL-NEG-11.jpg,unica,images/carcasas-silicona-iphone/SIL-NEG-11.jpg
155c2710e48cceffe5d5195274029e2f,carcasas-silicona-iphone/SIL-NEG-11PRO.jpg,unica,images/carcasas-silicona-iphone/SIL-NEG-11PRO.jpg
5b48a1b5139690b11e6f0b411f5a8c4d,carcasas-silicona-iphone/SIL-NEG-12.jpg,unica,images/carcasas-silicona-iphone/SIL-NEG-12.jpg
eda94f82547b08c9400b491e41c910c7,carcasas-silicona-iphone/SIL-NEG-12PROMAX.jpg,unica,images/carcasas-silicona-iphone/SIL-NEG-12PROMAX.jpg
5b1b74a330874a4ce7252baf62fe3320,carcasas-silicona-iphone/SIL-NEG-13.jpg,unica,images/carcasas-silicona-iphone/SIL-NEG-13.jpg
4c575f084b5678c08397d88870187bc0,carcasas-silicona-iphone/SIL-NEG-13PROMAX.jpg,unica,images/carcasas-silicona-iphone/SIL-NEG-13PROMAX.jpg
d7c0c6ae84407cee109af249187fbb1a,carcasas-silicona-iphone/SIL-NEG-16E.jpg,unica,images/carcasas-silicona-iphone/SIL-NEG-16E.jpg
1790a66cba529e2fb90392f0e851abe5,carcasas-silicona-iphone/SIL-NEG-16PLUS.jpg,unica,images/carcasas-silicona-iphone/SIL-NEG-16PLUS.jpg
924fb74b16bf283a1454caea28631a8d,carcasas-silicona-iphone/SIL-NEG-17AIR.jpg,unica,images/carcasas-silicona-iphone/SIL-NEG-17AIR.jpg
178269fa282b4fe558d7436ecdd6f272,carcasas-silicona-iphone/SIL-NEG-17PRO.jpg,unica,images/carcasas-silicona-iphone/SIL-NEG-17PRO.jpg
b2bf3b6d2b240031576a31f25606d863,carcasas-silicona-iphone/info.webp,unica,images/carcasas-silicona-iphone/info.webp
97878dce6eb2e95b7daf5e3d692c18cc,carcasas-silicona-iphone/iphoen 16 e negro.jpg,unica,images/carcasas-silicona-iphone/iphoen 16 e negro.jpg
eeff6cfed7f81990d635e4130731dc10,carcasas-silicona-iphone/iphone 11  azul navy.png,unica,images/carcasas-silicona-iphone/iphone 11  azul navy.png
8e876a8352ea38d945f6f504b17ee0d3,carcasas-silicona-iphone/iphone 11 negro.png,unica,images/carcasas-silicona-iphone/iphone 11 negro.png
d85f0776d9fc5efe05a0e355112250df,carcasas-silicona-iphone/iphone 12 pro max.png,unica,images/carcasas-silicona-iphone/iphone 12 pro max.png
c7b5bdff26eaabac9f435d90ca9b0043,"carcasas-silicona-iphone/iphone 12, 12 mini azul navy.png",unica,"images/carcasas-silicona-iphone/iphone 12, 12 mini azul navy.png"
cfea85dcb9cce0802accff45bf61a541,"carcasas-silicona-iphone/iphone 13 Mini, 13, 14, 15, 15 Plus azul navy.png",unica,"images/carcasas-silicona-iphone/iphone 13 Mini, 13, 14, 15, 15 Plus azul navy.png"
d307e1cf01b075a9111df82cff2be6cb,"carcasas-silicona-iphone/iphone 13 Mini, 13, 14, 15, 15 Plus negro.jpg",unica,"images/carcasas-silicona-iphone/iphone 13 Mini, 13, 14, 15, 15 Plus negro.jpg"
5913069549523f5541007a16a33de8fc,carcasas-silicona-iphone/iphone 16e azul navy.png,unica,images/carcasas-silicona-iphone/iphone 16e azul navy.png
961457d8fc58b349aaefefbe1dd8df24,carcasas-silicona-iphone/iphone 17 air azul navy.png,unica,images/carcasas-silicona-iphone/iphone 17 air azul navy.png
67dda20bf8106f1e48ffdbb4a849da08,carcasas-silicona-iphone/publi iphone.webp,unica,images/carcasas-silicona-iphone/publi iphone.webp
679bf2caffcdb7e0a4722c269dd66164,carcasas-silicona-iphone/publi.webp,unica,images/carcasas-silicona-iphone/publi.webp
780e3dd121ec57b9a0be1701e1749e96,"carcasas-transparentes-magsafe-iphone/12 Mini, 12, 13 Mini, 13, 14, 15, 15 Plus transparente magsafe.png",unica,"images/carcasas-transparentes-magsafe-iphone/12 Mini, 12, 13 Mini, 13, 14, 15, 15 Plus transparente magsafe.png"
780e3dd121ec57b9a0be1701e1749e96,"carcasas-transparentes-magsafe-iphone/12 Pro Max, 13 Pro Max, 14 Pro, 14 Pro Max, 15 Pro, 15 Pro Max, 16 Pro, 16 Pro Max transparente magsafe.png",duplicado,"images/carcasas-transparentes-magsafe-iphone/12 Mini, 12, 13 Mini, 13, 14, 15, 15 Plus transparente magsafe.png"
02472c728e73fe9b8dd8c125e46a4740,"carcasas-transparentes-magsafe-iphone/16, 16 Plus, 17 tranparente magsafe.png",unica,"images/carcasas-transparentes-magsafe-iphone/16, 16 Plus, 17 tranparente magsafe.png"
b5cdb9b398175e109058396e56d583a1,carcasas-transparentes-magsafe-iphone/16E carcasa magsafe transparente.png,unica,images/carcasas-transparentes-magsafe-iphone/16E carcasa magsafe transparente.png
d8692e272c60d267283e15caf311a68a,carcasas-transparentes-magsafe-iphone/INFO-MAGSAFE-1.jpg,unica,images/carcasas-transparentes-magsafe-iphone/INFO-MAGSAFE-1.jpg
32a03b0d0dad99645f0ad07287d60719,carcasas-transparentes-magsafe-iphone/INFO-MAGSAFE-2.jpg,unica,images/carcasas-transparentes-magsafe-iphone/INFO-MAGSAFE-2.jpg
6f8a55301d690d75976a2acf06454b58,carcasas-transparentes-magsafe-iphone/MAG-11.jpg,unica,images/carcasas-transparentes-magsafe-iphone/MAG-11.jpg
7741850be9aa8575d5b0a02f19a9624f,carcasas-transparentes-magsafe-iphone/MAG-12.jpg,unica,images/carcasas-transparentes-magsafe-iphone/MAG-12.jpg
7741850be9aa8575d5b0a02f19a9624f,carcasas-transparentes-magsafe-iphone/MAG-12PROMAX.jpg,duplicado,images/carcasas-transparentes-magsafe-iphone/MAG-12.jpg
f073a680a10df97578be4216d858da6f,carcasas-transparentes-magsafe-iphone/MAG-16.jpg,unica,images/carcasas-transparentes-magsafe-iphone/MAG-16.jpg
fbf622afe70b3b46a786a58e6024809d,carcasas-transparentes-magsafe-iphone/MAG-16E.jpg,unica,images/carcasas-transparentes-magsafe-iphone/MAG-16E.jpg
a8d357364bf82dda601b708208a1bc57,carcasas-transparentes-magsafe-iphone/MAG-17AIR.jpg,unica,images/carcasas-transparentes-magsafe-iphone/MAG-17AIR.jpg
e27dcb4c11c871ffe3b0815592341ef3,carcasas-transparentes-magsafe-iphone/MAG-17PRO.jpg,unica,images/carcasas-transparentes-magsafe-iphone/MAG-17PRO.jpg
0eb1da2058edfe3b428bcbdfb5912df1,"carcasas-transparentes-magsafe-iphone/carcasa iphone 17 Pro, 17 Pro Max transparente magsafe.png",unica,"images/carcasas-transparentes-magsafe-iphone/carcasa iphone 17 Pro, 17 Pro Max transparente magsafe.png"
ecd8bad7227d7ad308921313d52de7d4,carcasas-transparentes-magsafe-iphone/info transparente.webp,unica,images/carcasas-transparentes-magsafe-iphone/info transparente.webp
b2bf3b6d2b240031576a31f25606d863,carcasas-transparentes-magsafe-iphone/info.webp,duplicado,images/carcasas-silicona-iphone/info.webp
ca195a2e6b636acd44b96582c34b7bb3,"carcasas-transparentes-magsafe-iphone/iphone 11, 11 por, 11 pro max tranparente magsafe.png",unica,"images/carcasas-transparentes-magsafe-iphone/iphone 11, 11 por, 11 pro max tranparente magsafe.png"
47f608c844faa39cce5e653fd32b0e0f,carcasas-transparentes-magsafe-iphone/iphone 17 air magsafe transparente.png,unica,images/carcasas-transparentes-magsafe-iphone/iphone 17 air magsafe transparente.png
29fb98332cd7ceba1b37e4cbf9c313c3,carcasas-transparentes-magsafe-iphone/proteccion.webp,unica,images/carcasas-transparentes-magsafe-iphone/proteccion.webp
2fb3f63c0ea6eb88c6bbd52755c0157a,cargador-iphones-20w/CARGADOR-20W-2.jpg,unica,images/cargador-iphones-20w/CARGADOR-20W-2.jpg
613dc582cde78df78f3204343bb5823f,cargador-iphones-20w/KIT-LIGHTNING-1.jpg,unica,images/cargador-iphones-20w/KIT-LIGHTNING-1.jpg
7977d2ef67d1ed4af79de34a7d25147d,cargador-iphones-20w/KIT-LIGHTNING-3.jpg,duplicado,images/cables-iphone/CABLE-LTN-1.jpg
70898c2cbef79e9468337c2eeb430eda,cargador-iphones-20w/KIT-USBC-1.jpg,unica,images/cargador-iphones-20w/KIT-USBC-1.jpg
70898c2cbef79e9468337c2eeb430eda,cargador-iphones-20w/KIT-USBC-1_1.jpg,duplicado,images/cargador-iphones-20w/KIT-USBC-1.jpg
98d9987518c60e9c7afeaba7e00393c9,cargador-iphones-20w/KIT-USBC-3.jpg,duplicado,images/cables-iphone/CABLE-USBC-1.jpg
