imagen,estado,portada,kb,calidad_jpg
images/deportes/cascos-trip-enduro/trip-enduro-wtq-2.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-wtq-2.jpg,125.9,88
images/deportes/cascos-trip-enduro/trip-enduro-wtq-3.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-wtq-3.jpg,129.2,84
images/deportes/lentes-ciclismo/b090-1.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_b090-1-jpg.jpg,84.1,92
images/deportes/lentes-ciclismo/b090-1.png,procesada,images/deportes/lentes-ciclismo/1_portada_b090-1-png.jpg,83.0,92
images/deportes/lentes-ciclismo/b090-10.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_b090-10-jpg.jpg,75.8,92
images/deportes/lentes-ciclismo/b090-10.png,procesada,images/deportes/lentes-ciclismo/1_portada_b090-10-png.jpg,78.5,92
images/deportes/lentes-ciclismo/b090-2.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_b090-2-jpg.jpg,77.3,92
images/deportes/lentes-ciclismo/b090-2.png,procesada,images/deportes/lentes-ciclismo/1_portada_b090-2-png.jpg,77.0,92
images/deportes/lentes-ciclismo/b090-3.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_b090-3-jpg.jpg,86.3,92
images/deportes/lentes-ciclismo/b090-3.png,procesada,images/deportes/lentes-ciclismo/1_portada_b090-3-png.jpg,89.1,92
images/deportes/lentes-ciclismo/b090-4.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_b090-4-jpg.jpg,85.7,92
images/deportes/lentes-ciclismo/b090-4.png,procesada,images/deportes/lentes-ciclismo/1_portada_b090-4-png.jpg,85.0,92
images/deportes/lentes-ciclismo/b090-5.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_b090-5-jpg.jpg,85.8,92
images/deportes/lentes-ciclismo/b090-5.png,procesada,images/deportes/lentes-ciclismo/1_portada_b090-5-png.jpg,86.8,92
images/deportes/lentes-ciclismo/b090-6.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_b090-6-jpg.jpg,90.4,92
images/deportes/lentes-ciclismo/b090-6.png,procesada,images/deportes/lentes-ciclismo/1_portada_b090-6-png.jpg,89.4,92
images/deportes/lentes-ciclismo/b090-7.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_b090-7-jpg.jpg,93.0,92
images/deportes/lentes-ciclismo/b090-7.png,procesada,images/deportes/lentes-ciclismo/1_portada_b090-7-png.jpg,91.1,92
images/deportes/lentes-ciclismo/b090-8.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_b090-8-jpg.jpg,93.4,92
images/deportes/lentes-ciclismo/b090-8.png,procesada,images/deportes/lentes-ciclismo/1_portada_b090-8-png.jpg,92.1,92
images/deportes/lentes-ciclismo/b090-9.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_b090-9-jpg.jpg,93.1,92
images/deportes/lentes-ciclismo/b090-9.png,procesada,images/deportes/lentes-ciclismo/1_portada_b090-9-png.jpg,91.7,92
images/deportes/lentes-ciclismo/informacion-lentes-2.jpg,omitida (infografia/banner),,,
